origin,dest,job_totals,start_lat,start_lon,end_lat,end_lon,Date,Time,minutes
24510010100,24510010400,22,39.2786343,-76.5745793,39.2781675,-76.5795274,11/01/2022,08:00AM,8.716666666666667
24510010200,24510010400,22,39.2880851,-76.5740101,39.2781675,-76.5795274,11/01/2022,08:00AM,20.683333333333334
24510010300,24510010400,28,39.288365,-76.5802265,39.2781675,-76.5795274,11/01/2022,08:00AM,18.4
24510010400,24510010400,39,39.2781675,-76.5795274,39.2781675,-76.5795274,11/01/2022,08:00AM,0
24510010500,24510010400,10,39.2888746,-76.5858889,39.2781675,-76.5795274,11/01/2022,08:00AM,15.0
24510020100,24510010400,7,39.2887712,-76.5887716,39.2781675,-76.5795274,11/01/2022,08:00AM,11.666666666666666
24510020200,24510010400,5,39.2886357,-76.5920299,39.2781675,-76.5795274,11/01/2022,08:00AM,12.65
24510020300,24510010400,22,39.280861,-76.5940789,39.2781675,-76.5795274,11/01/2022,08:00AM,17.283333333333335
24510030100,24510010400,11,39.2894076,-76.5965752,39.2781675,-76.5795274,11/01/2022,08:00AM,16.133333333333333
24510030200,24510010400,3,39.2865363,-76.6022612,39.2781675,-76.5795274,11/01/2022,08:00AM,19.383333333333333
24510040100,24510010400,7,39.2903959,-76.6149601,39.2781675,-76.5795274,11/01/2022,08:00AM,28.516666666666666
24510060100,24510010400,7,39.2946533,-76.5751514,39.2781675,-76.5795274,11/01/2022,08:00AM,21.433333333333334
24510060200,24510010400,2,39.2944298,-76.5806137,39.2781675,-76.5795274,11/01/2022,08:00AM,21.233333333333334
24510060300,24510010400,6,39.2942438,-76.5855106,39.2781675,-76.5795274,11/01/2022,08:00AM,17.15
24510060400,24510010400,1,39.2950986,-76.5909176,39.2781675,-76.5795274,11/01/2022,08:00AM,12.466666666666667
24510070100,24510010400,2,39.2998323,-76.5754298,39.2781675,-76.5795274,11/01/2022,08:00AM,25.533333333333335
24510070200,24510010400,4,39.2996608,-76.5810142,39.2781675,-76.5795274,11/01/2022,08:00AM,26.05
24510070300,24510010400,6,39.2994991,-76.5859396,39.2781675,-76.5795274,11/01/2022,08:00AM,20.766666666666666
24510070400,24510010400,1,39.3002032,-76.592847,39.2781675,-76.5795274,11/01/2022,08:00AM,18.65
24510080101,24510010400,7,39.322849,-76.579024,39.2781675,-76.5795274,11/01/2022,08:00AM,43.666666666666664
24510080102,24510010400,3,39.3170456,-76.575892,39.2781675,-76.5795274,11/01/2022,08:00AM,35.55
24510080200,24510010400,1,39.311965,-76.5816166,39.2781675,-76.5795274,11/01/2022,08:00AM,32.56666666666667
24510080301,24510010400,1,39.3057013,-76.5820327,39.2781675,-76.5795274,11/01/2022,08:00AM,27.983333333333334
24510080302,24510010400,4,39.3059215,-76.576434,39.2781675,-76.5795274,11/01/2022,08:00AM,28.25
24510080500,24510010400,1,39.3141597,-76.5938464,39.2781675,-76.5795274,11/01/2022,08:00AM,26.1
24510080600,24510010400,2,39.3104188,-76.5934776,39.2781675,-76.5795274,11/01/2022,08:00AM,21.85
24510090100,24510010400,3,39.3369651,-76.6036954,39.2781675,-76.5795274,11/01/2022,08:00AM,56.25
24510090300,24510010400,1,39.3312288,-76.6023893,39.2781675,-76.5795274,11/01/2022,08:00AM,49.68333333333333
24510090400,24510010400,1,39.3227817,-76.6064912,39.2781675,-76.5795274,11/01/2022,08:00AM,47.833333333333336
24510090600,24510010400,3,39.3254965,-76.5902057,39.2781675,-76.5795274,11/01/2022,08:00AM,42.083333333333336
24510090700,24510010400,1,39.3209223,-76.5956215,39.2781675,-76.5795274,11/01/2022,08:00AM,37.86666666666667
24510090800,24510010400,4,39.3155244,-76.603691,39.2781675,-76.5795274,11/01/2022,08:00AM,31.316666666666666
24510090900,24510010400,5,39.3084221,-76.6035994,39.2781675,-76.5795274,11/01/2022,08:00AM,29.833333333333332
24510100100,24510010400,2,39.3032186,-76.6047442,39.2781675,-76.5795274,11/01/2022,08:00AM,32.6
24510110100,24510010400,2,39.3002458,-76.6128641,39.2781675,-76.5795274,11/01/2022,08:00AM,32.61666666666667
24510110200,24510010400,3,39.3014588,-76.6175056,39.2781675,-76.5795274,11/01/2022,08:00AM,38.35
24510120201,24510010400,1,39.3279849,-76.6118803,39.2781675,-76.5795274,11/01/2022,08:00AM,48.25
24510120500,24510010400,1,39.3085848,-76.6140036,39.2781675,-76.5795274,11/01/2022,08:00AM,33.03333333333333
24510120600,24510010400,5,39.317088,-76.6175228,39.2781675,-76.5795274,11/01/2022,08:00AM,33.38333333333333
24510120700,24510010400,6,39.3184095,-76.623529,39.2781675,-76.5795274,11/01/2022,08:00AM,44.88333333333333
24510130200,24510010400,4,39.3123177,-76.6305781,39.2781675,-76.5795274,11/01/2022,08:00AM,40.016666666666666
24510130300,24510010400,3,39.3123572,-76.6406686,39.2781675,-76.5795274,11/01/2022,08:00AM,41.95
24510130600,24510010400,8,39.3264635,-76.6304217,39.2781675,-76.5795274,11/01/2022,08:00AM,48.93333333333333
24510130700,24510010400,3,39.3367186,-76.6317033,39.2781675,-76.5795274,11/01/2022,08:00AM,48.833333333333336
24510130803,24510010400,8,39.3402502,-76.6433643,39.2781675,-76.5795274,11/01/2022,08:00AM,58.61666666666667
24510130804,24510010400,3,39.3312836,-76.6384027,39.2781675,-76.5795274,11/01/2022,08:00AM,55.05
24510140100,24510010400,3,39.3077211,-76.6256874,39.2781675,-76.5795274,11/01/2022,08:00AM,38.916666666666664
24510140300,24510010400,1,39.3078099,-76.6361904,39.2781675,-76.5795274,11/01/2022,08:00AM,41.9
24510150200,24510010400,3,39.3063661,-76.6480486,39.2781675,-76.5795274,11/01/2022,08:00AM,42.983333333333334
24510150400,24510010400,1,39.3124588,-76.6527287,39.2781675,-76.5795274,11/01/2022,08:00AM,45.483333333333334
24510150600,24510010400,1,39.3090802,-76.6687936,39.2781675,-76.5795274,11/01/2022,08:00AM,44.55
24510150701,24510010400,1,39.3193301,-76.6678344,39.2781675,-76.5795274,11/01/2022,08:00AM,60.31666666666667
24510150800,24510010400,1,39.3189672,-76.6778103,39.2781675,-76.5795274,11/01/2022,08:00AM,58.333333333333336
24510150900,24510010400,5,39.3142207,-76.6842999,39.2781675,-76.5795274,11/01/2022,08:00AM,61.86666666666667
24510151100,24510010400,4,39.3303769,-76.6723437,39.2781675,-76.5795274,11/01/2022,08:00AM,58.63333333333333
24510151200,24510010400,1,39.3310485,-76.6598579,39.2781675,-76.5795274,11/01/2022,08:00AM,52.416666666666664
24510151300,24510010400,1,39.3378526,-76.6661876,39.2781675,-76.5795274,11/01/2022,08:00AM,57.03333333333333
24510160100,24510010400,3,39.2980892,-76.6363266,39.2781675,-76.5795274,11/01/2022,08:00AM,40.11666666666667
24510160200,24510010400,1,39.298715,-76.6408488,39.2781675,-76.5795274,11/01/2022,08:00AM,37.71666666666667
