h_geocode,w_geocode,job_totals
24510020200,24510110200,14
24510020200,24510120201,2
24510020200,24510120202,18
24510020200,24510120500,3
24510020200,24510120600,4
24510020200,24510130300,1
24510020200,24510130600,8
24510020200,24510130700,5
24510020200,24510130804,1
24510020200,24510140100,4
24510020200,24510150400,2
24510020200,24510150500,6
24510020200,24510151000,2
24510020200,24510151100,1
24510020200,24510151200,1
24510020200,24510160100,2
24510020200,24510160300,1
24510020200,24510160600,1
24510020200,24510160700,1
24510020200,24510170200,1
24510020200,24510170300,1
24510020200,24510190100,2
24510020200,24510200500,1
24510020200,24510210100,3
24510020200,24510220100,12
24510020200,24510230200,1
24510020200,24510230300,3
24510020200,24510240100,10
24510020200,24510240200,5
24510020200,24510250103,4
24510020200,24510250203,2
24510020200,24510250207,1
24510020200,24510250303,1
24510020200,24510250500,2
24510020200,24510250600,2
24510020200,24510260101,5
24510020200,24510260202,1
24510020200,24510260203,1
24510020200,24510260402,1
24510020200,24510260403,1
24510020200,24510260404,10
24510020200,24510260501,3
24510020200,24510260605,11
24510020200,24510260900,9
24510020200,24510261100,6
24510020200,24510270200,1
24510020200,24510270401,1
24510020200,24510270402,2
24510020200,24510270502,1
24510020200,24510270702,1
24510020200,24510270805,2
24510020200,24510270901,1
24510020200,24510270902,2
24510020200,24510270903,3
24510020200,24510271102,2
24510020200,24510271200,2
24510020200,24510271501,5
24510020200,24510271503,1
24510020200,24510271700,3
24510020200,24510271900,1
24510020200,24510272003,2
24510020200,24510272005,1
24510020200,24510272007,1
24510020200,24510280102,2
24510020200,24510280403,1
24510020200,24510280500,7
24510020300,24510010100,7
24510020300,24510010200,4
24510020300,24510010300,1
24510020300,24510010400,22
24510020300,24510020100,2
24510020300,24510020300,186
24510020300,24510030200,95
24510020300,24510040100,220
24510020300,24510040200,62
24510020300,24510060200,3
24510020300,24510060400,107
24510020300,24510070400,154
24510020300,24510080101,1
24510020300,24510080302,1
24510020300,24510080500,1
24510020300,24510080800,1
24510020300,24510090300,1
24510020300,24510090500,7
24510020300,24510110100,8
24510020300,24510110200,32
24510020300,24510120202,59
24510020300,24510120600,6
24510020300,24510120700,8
24510020300,24510130100,2
24510020300,24510130600,5
24510020300,24510130700,11
24510020300,24510130804,4
24510020300,24510130806,6
24510020300,24510140100,1
24510020300,24510140200,1
24510020300,24510150400,2
24510020300,24510150500,3
24510020300,24510160600,1
24510020300,24510170100,3
24510020300,24510170200,6
24510020300,24510200500,1
24510020300,24510200600,2
24510020300,24510200800,1
24510020300,24510210100,3
24510020300,24510210200,4
24510020300,24510220100,27
24510020300,24510230100,3
24510020300,24510230200,10
24510020300,24510230300,12
24510020300,24510240100,37
24510020300,24510240200,7
24510020300,24510240400,14
24510020300,24510250102,1
24510020300,24510250103,7
24510020300,24510250203,4
24510020300,24510250205,1
24510020300,24510250500,2
24510020300,24510260102,1
24510020300,24510260302,1
24510020300,24510260403,1
24510020300,24510260404,4
24510020300,24510260501,22
24510020300,24510260605,13
24510020300,24510260800,3
24510020300,24510260900,7
24510020300,24510261000,1
24510020300,24510261100,3
24510020300,24510270200,4
24510020300,24510270401,1
24510020300,24510270402,1
24510020300,24510270701,1
24510020300,24510270702,1
24510020300,24510270803,1
24510020300,24510270902,1
24510020300,24510271102,5
24510020300,24510271200,1
24510020300,24510271300,3
24510020300,24510271400,1
24510020300,24510271501,18
24510020300,24510271503,6
24510020300,24510271600,1
24510020300,24510271700,11
24510020300,24510271801,1
24510020300,24510271802,1
24510020300,24510272007,1
24510020300,24510280101,1
24510020300,24510280102,3
24510020300,24510280401,1
24510020300,24510280404,2
24510020300,24510280500,2
24510030100,24510010100,1
24510030100,24510010400,11
24510030100,24510020100,1
24510030100,24510020300,15
24510030100,24510030100,22
24510030100,24510030200,28
24510030100,24510040100,75
24510030100,24510040200,4
24510030100,24510060200,5
24510030100,24510060400,45
24510030100,24510070300,1
24510030100,24510070400,16
24510030100,24510080102,1
24510030100,24510080500,1
24510030100,24510090200,1
24510030100,24510100100,1
24510030100,24510100300,4
24510030100,24510110100,1
24510030100,24510110200,3
24510030100,24510120202,15
24510030100,24510120500,1
24510030100,24510120600,8
24510030100,24510120700,5
24510030100,24510130400,1
24510030100,24510130600,1
24510030100,24510130700,7
24510030100,24510130804,3
24510030100,24510130806,2
24510030100,24510140100,1
24510030100,24510140200,1
24510030100,24510150100,1
24510030100,24510150400,4
24510030100,24510150500,5
24510030100,24510150701,1
24510030100,24510150800,2
24510030100,24510151000,2
24510030100,24510151300,1
24510030100,24510170100,3
24510030100,24510170200,4
24510030100,24510200100,1
24510030100,24510200200,1
24510030100,24510200600,3
24510030100,24510200800,2
24510030100,24510210100,8
24510030100,24510210200,2
24510030100,24510220100,19
24510030100,24510230200,3
24510030100,24510230300,2
24510030100,24510240100,1
24510030100,24510240200,3
24510030100,24510240300,2
24510030100,24510240400,1
24510030100,24510250103,3
24510030100,24510250203,1
24510030100,24510250206,2
24510030100,24510250207,1
24510030100,24510250500,2
24510030100,24510250600,4
24510030100,24510260101,1
24510030100,24510260102,1
24510030100,24510260201,2
24510030100,24510260303,1
24510030100,24510260402,1
24510030100,24510260403,1
24510030100,24510260404,11
24510030100,24510260501,13
24510030100,24510260605,19
24510030100,24510260700,1
24510030100,24510260800,1
24510030100,24510260900,1
24510030100,24510270401,1
24510030100,24510270803,4
24510030100,24510270902,2
24510030100,24510270903,1
24510030100,24510271002,1
24510030100,24510271102,1
24510030100,24510271400,1
24510030100,24510271501,2
24510030100,24510271503,1
24510030100,24510271600,1
24510030100,24510271700,7
24510030100,24510271900,1
24510030100,24510272007,1
24510030100,24510280101,3
24510030100,24510280102,5
24510030100,24510280500,7
24510030100,24510280600,1
24510030200,24510010100,1
24510030200,24510010400,3
24510030200,24510020300,24
24510030200,24510030100,4
24510030200,24510030200,109
24510030200,24510040100,140
24510030200,24510040200,32
24510030200,24510060400,37
24510030200,24510070400,51
24510030200,24510080101,2
24510030200,24510080200,1
24510030200,24510090200,3
24510030200,24510090400,1
24510030200,24510090500,3
24510030200,24510090800,1
24510030200,24510100100,2
24510030200,24510110100,6
24510030200,24510110200,9
24510030200,24510120202,26
24510030200,24510120500,1
24510030200,24510120600,2
24510030200,24510120700,6
24510030200,24510130200,1
24510030200,24510130600,5
24510030200,24510130700,3
24510030200,24510130806,4
24510030200,24510140100,6
24510030200,24510150300,1
24510030200,24510150400,1
24510030200,24510150500,1
24510030200,24510150701,2
24510030200,24510151300,1
24510030200,24510160600,1
24510030200,24510170100,3
24510030200,24510170200,4
24510030200,24510180300,1
24510030200,24510190100,1
24510030200,24510200100,6
24510030200,24510200200,2
24510030200,24510210100,3
24510030200,24510210200,5
24510030200,24510220100,31
24510030200,24510230100,1
24510030200,24510230200,1
24510030200,24510230300,4
24510030200,24510240100,3
24510030200,24510240400,1
24510030200,24510250103,5
24510030200,24510250203,1
24510030200,24510250205,8
24510030200,24510250206,1
24510030200,24510250303,1
24510030200,24510250500,2
24510030200,24510250600,1
24510030200,24510260101,2
24510030200,24510260404,2
24510030200,24510260501,18
24510030200,24510260605,26
24510030200,24510260700,1
24510030200,24510260900,3
24510030200,24510270401,2
24510030200,24510270702,1
24510030200,24510270802,1
24510030200,24510270803,2
24510030200,24510270902,4
24510030200,24510270903,2
24510030200,24510271101,2
24510030200,24510271102,8
24510030200,24510271300,1
24510030200,24510271501,7
24510030200,24510271503,1
24510030200,24510271600,2
24510030200,24510271700,5
24510030200,24510272003,2
24510030200,24510272007,1
24510030200,24510280101,1
24510030200,24510280102,4
24510030200,24510280500,7
24510040100,24510010200,2
24510040100,24510010400,7
24510040100,24510020100,2
24510040100,24510020300,59
24510040100,24510030100,3
24510040100,24510030200,49
24510040100,24510040100,573
24510040100,24510040200,130
24510040100,24510060200,1
24510040100,24510060400,80
24510040100,24510070400,111
24510040100,24510080500,1
24510040100,24510080800,1
24510040100,24510090200,2
24510040100,24510090500,4
24510040100,24510100300,2
24510040100,24510110100,5
24510040100,24510110200,52
24510040100,24510120100,1
24510040100,24510120202,65
24510040100,24510120400,2
24510040100,24510120500,3
24510040100,24510120600,17
24510040100,24510120700,12
24510040100,24510130400,1
24510040100,24510130600,5
24510040100,24510130700,12
24510040100,24510130804,5
24510040100,24510130806,6
24510040100,24510140100,5
24510040100,24510140200,1
24510040100,24510150400,1
24510040100,24510150500,3
24510040100,24510150600,1
24510040100,24510150701,1
24510040100,24510151000,2
24510040100,24510160500,2
24510040100,24510170100,8
24510040100,24510170200,18
24510040100,24510180300,7
24510040100,24510200100,1
24510040100,24510200500,2
24510040100,24510200600,1
24510040100,24510200800,1
24510040100,24510210100,25
24510040100,24510210200,11
24510040100,24510220100,69
24510040100,24510230100,2
24510040100,24510230200,3
24510040100,24510230300,8
24510040100,24510240100,15
24510040100,24510240200,7
24510040100,24510240300,1
24510040100,24510240400,15
24510040100,24510250103,2
24510040100,24510250203,2
24510040100,24510250205,4
24510040100,24510250206,1
24510040100,24510250303,1
24510040100,24510250500,1
24510040100,24510250600,4
24510040100,24510260101,2
24510040100,24510260303,1
24510040100,24510260404,10
24510040100,24510260501,38
24510040100,24510260605,35
24510040100,24510260700,4
24510040100,24510260800,1
24510040100,24510260900,1
24510040100,24510270200,2
24510040100,24510270502,4
24510040100,24510270803,7
24510040100,24510270902,8
24510040100,24510271102,14
24510040100,24510271300,1
24510040100,24510271400,3
24510040100,24510271501,19
24510040100,24510271700,15
24510040100,24510271801,1
24510040100,24510271802,2
24510040100,24510272003,1
24510040100,24510272006,2
24510040100,24510272007,2
24510040100,24510280101,3
24510040100,24510280102,12
24510040100,24510280500,5
24510040100,24510280600,1
24510040200,24510010100,1
24510040200,24510010200,1
24510040200,24510020300,1
24510040200,24510030100,1
24510040200,24510030200,1
24510040200,24510040100,34
24510040200,24510040200,30
24510040200,24510060400,4
24510040200,24510070400,10
24510040200,24510110200,6
24510040200,24510120202,4
24510040200,24510120500,1
24510040200,24510120700,1
24510040200,24510130300,1
24510040200,24510130805,2
24510040200,24510130806,1
24510040200,24510150400,1
24510040200,24510151000,1
24510040200,24510160300,1
24510040200,24510170100,2
24510040200,24510180300,1
24510040200,24510200400,1
24510040200,24510200500,1
24510040200,24510210100,1
24510040200,24510220100,8
24510040200,24510230300,1
24510040200,24510250103,2
24510040200,24510250206,1
24510040200,24510250500,1
24510040200,24510250600,1
24510040200,24510260101,1
24510040200,24510260605,3
24510040200,24510271501,5
24510040200,24510271700,2
24510040200,24510280102,1
24510040200,24510280500,3
24510040200,24510280600,1
24510060100,24510010100,7
24510060100,24510010200,2
24510060100,24510010300,1
24510060100,24510010400,7
24510060100,24510010500,3
24510060100,24510020100,1
24510060100,24510020200,2
24510060100,24510020300,18
24510060100,24510030100,2
24510060100,24510030200,20
24510060100,24510040100,85
24510060100,24510040200,27
24510060100,24510060100,2
24510060100,24510060200,3
24510060100,24510060400,37
24510060100,24510070200,1
24510060100,24510070400,20
24510060100,24510080101,1
24510060100,24510080102,5
24510060100,24510080200,3
24510060100,24510080500,2
24510060100,24510090200,1
24510060100,24510090500,1
24510060100,24510100300,3
24510060100,24510110100,2
24510060100,24510110200,29
24510060100,24510120100,2
24510060100,24510120201,2
24510060100,24510120202,18
