GoeID_Origin,GeoID_Destination,TransitTime (minutes),DriveDistance (miles),DriveTime (minutes),EclDistance(miles)
14000US24510260605,14000US24510250401,259.2507793,12.96253897,36.46782306,3.37243314
14000US24510250401,14000US24510260303,258.726737,12.93633685,35.15450234,5.685852076
14000US24510270502,14000US24510250206,258.7130125,12.93565062,36.32570115,8.617100807
14000US24510260604,14000US24510250401,258.0266838,12.90133419,36.30757782,4.517892015
14000US24510250402,14000US24510280302,257.7664533,12.88832267,36.59611663,7.809326821
14000US24510250401,14000US24510271001,257.2725589,12.86362794,35.89676873,7.25849655
14000US24510090500,14000US24510250500,256.790345,12.83951725,35.30485596,6.460223922
14000US24510130803,14000US24510250401,256.7850375,12.83925187,35.39013733,7.561765121
14000US24510250402,14000US24510271102,256.3374889,12.81687445,35.39065052,7.701773289
14000US24510270701,14000US24510280401,256.1284604,12.80642302,35.24005316,8.782916325
14000US24510250500,14000US24510260700,255.8644028,12.79322014,35.67808332,4.117076657
14000US24510250500,14000US24510080102,255.7063492,12.78531746,34.51771227,6.028944417
14000US24510250402,14000US24510280301,255.6622716,12.78311358,34.68785037,7.536219044
14000US24510250402,14000US24510130804,255.5868431,12.77934216,36.32663206,7.291980495
14000US24510250401,14000US24510130803,255.5596179,12.77798089,35.15943564,7.561765121
14000US24510120201,14000US24510250500,255.1392823,12.75696411,35.08220551,6.755838378
14000US24510280401,14000US24510270502,254.9122385,12.74561193,35.9417158,9.33304462
14000US24510250500,14000US24510090500,254.4240155,12.72120077,34.3928891,6.460223922
14000US24510090200,14000US24510250401,254.2755561,12.7137778,35.84143662,6.752976548
14000US24510260301,14000US24510250401,254.2535852,12.71267926,35.9327812,6.226512236
14000US24510250402,14000US24510151100,254.1396683,12.70698342,34.68455472,7.852881652
14000US24510250401,14000US24510271600,253.782348,12.6891174,33.24912227,8.09349241
14000US24510250500,14000US24510151200,253.6668316,12.68334158,33.23400012,7.836022928
14000US24510250206,14000US24510270502,253.3620146,12.66810073,35.74075465,8.617100807
14000US24510260302,14000US24510250401,253.2531051,12.66265526,35.16218363,5.833441444
14000US24510270701,14000US24510250206,253.1778938,12.65889469,35.73405997,8.527743948
14000US24510250401,14000US24510260301,252.8613518,12.64306759,34.77770597,6.226512236
14000US24510151000,14000US24510260605,252.8289544,12.64144772,35.42318113,8.382148046
14000US24510090400,14000US24510250500,252.7586427,12.63793213,35.08872535,6.348347598
14000US24510250402,14000US24510090600,252.5332305,12.62666153,34.83336594,6.56560349
14000US24510080101,14000US24510250401,252.1878937,12.60939468,35.05411571,6.204398299
14000US24510250401,14000US24510260302,252.1313362,12.60656681,34.04971057,5.833441444
14000US24510271600,14000US24510250401,252.1241136,12.60620568,33.00533851,8.09349241
