USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
MD	24005402510	2063830	11886	0.797	0.005	39.3904783	-76.7930038                                                                                                                                         
MD	24005402511	1627423	6297	0.628	0.002	39.3928436	-76.8025221                                                                                                                                          
MD	24005402602	1237874	0	0.478	0.	39.3671621	-76.7805135                                                                                                                                                
MD	24005402603	6057010	35561	2.339	0.014	39.3854328	-76.7701845                                                                                                                                         
MD	24005402604	3630361	0	1.402	0.	39.3729256	-76.7674269                                                                                                                                                
MD	24005403100	1913598	0	0.739	0.	39.353095	-76.7333148                                                                                                                                                 
MD	24005403201	1764534	0	0.681	0.	39.3549038	-76.7215235                                                                                                                                                
MD	24005403202	1165728	0	0.45	0.	39.3432678	-76.7173005                                                                                                                                                 
MD	24005403300	1721044	4597	0.664	0.002	39.3660523	-76.7353449                                                                                                                                          
MD	24005403401	1813726	0	0.7	0.	39.3760649	-76.7321884                                                                                                                                                  
MD	24005403402	3585772	35807	1.384	0.014	39.3741504	-76.7168009                                                                                                                                         
MD	24005403500	3127265	0	1.207	0.	39.3775747	-76.6978219                                                                                                                                                
MD	24005403601	2749138	2126	1.061	0.001	39.3852452	-76.6709775                                                                                                                                          
MD	24005403602	2754966	0	1.064	0.	39.3777775	-76.6642845                                                                                                                                                
MD	24005403702	6327946	4978	2.443	0.002	39.391378	-76.757956                                                                                                                                            
MD	24005403703	2015136	1302	0.778	0.001	39.3930957	-76.7313561                                                                                                                                          
MD	24005403704	9328114	15742	3.602	0.006	39.4186423	-76.7418515                                                                                                                                         
MD	24005403801	11255971	11854	4.346	0.005	39.4268689	-76.7049868                                                                                                                                        
MD	24005403802	9661882	20705	3.73	0.008	39.4058025	-76.7019267                                                                                                                                          
MD	24005403803	5771911	4312	2.229	0.002	39.38729	-76.6973084                                                                                                                                            
MD	24005404101	12750866	97828	4.923	0.038	39.4241613	-76.8203443                                                                                                                                        
MD	24005404102	4713529	0	1.82	0.	39.4231213	-76.7942606                                                                                                                                                 
MD	24005404201	2402856	0	0.928	0.	39.443624	-76.7936255                                                                                                                                                 
MD	24005404202	6851426	12176	2.645	0.005	39.4316056	-76.7762307                                                                                                                                         
MD	24005404402	10872306	9755	4.198	0.004	39.4741488	-76.7977129                                                                                                                                         
MD	24005404403	2302034	0	0.889	0.	39.4440222	-76.8184145                                                                                                                                                
MD	24005404404	4208983	11731	1.625	0.005	39.4703962	-76.8259698                                                                                                                                         
MD	24005404501	3100883	0	1.197	0.	39.4568563	-76.8128263                                                                                                                                                
MD	24005404502	1093929	0	0.422	0.	39.4467503	-76.8050358                                                                                                                                                
MD	24005404600	63324910	155755	24.45	0.06	39.5083225	-76.8146134                                                                                                                                        
MD	24005404800	22400568	1207650	8.649	0.466	39.454442	-76.8550132                                                                                                                                       
MD	24005404900	24904882	125186	9.616	0.048	39.4558233	-76.7436978                                                                                                                                       
