trip_id,arrival_time,departure_time,stop_id,stop_sequence
22,08:24:58,08:24:58,12,14
22,08:27:46,08:27:46,18,15
22,08:29:52,08:29:52,13,16
22,08:32:28,08:32:28,14,17
22,08:36:31,08:36:31,16,18
22,08:38:15,08:38:15,15,19
23,07:56:00,07:56:00,0,1
23,07:57:57,07:57:57,1,2
23,08:01:33,08:01:33,2,3
23,08:03:56,08:03:56,17,4
23,08:08:53,08:08:53,3,5
23,08:15:10,08:15:10,4,6
23,08:17:40,08:17:40,5,7
23,08:19:34,08:19:34,6,8
23,08:21:51,08:21:51,7,9
23,08:24:08,08:24:08,8,10
23,08:25:42,08:25:42,9,11
23,08:27:30,08:27:30,10,12
23,08:30:22,08:30:22,11,13
23,08:32:58,08:32:58,12,14
23,08:35:46,08:35:46,18,15
23,08:37:52,08:37:52,13,16
23,08:40:28,08:40:28,14,17
23,08:44:31,08:44:31,16,18
23,08:46:15,08:46:15,15,19
24,08:04:00,08:04:00,0,1
24,08:05:57,08:05:57,1,2
24,08:09:33,08:09:33,2,3
24,08:11:56,08:11:56,17,4
24,08:16:53,08:16:53,3,5
24,08:23:10,08:23:10,4,6
24,08:25:40,08:25:40,5,7
24,08:27:34,08:27:34,6,8
24,08:29:51,08:29:51,7,9
24,08:32:08,08:32:08,8,10
24,08:33:42,08:33:42,9,11
24,08:35:30,08:35:30,10,12
24,08:38:22,08:38:22,11,13
24,08:40:58,08:40:58,12,14
24,08:43:46,08:43:46,18,15
24,08:45:52,08:45:52,13,16
24,08:48:28,08:48:28,14,17
24,08:52:31,08:52:31,16,18
24,08:54:15,08:54:15,15,19
25,08:12:00,08:12:00,0,1
25,08:13:57,08:13:57,1,2
25,08:17:33,08:17:33,2,3
25,08:19:56,08:19:56,17,4
25,08:24:53,08:24:53,3,5
25,08:31:10,08:31:10,4,6
25,08:33:40,08:33:40,5,7
25,08:35:34,08:35:34,6,8
25,08:37:51,08:37:51,7,9
25,08:40:08,08:40:08,8,10
25,08:41:42,08:41:42,9,11
25,08:43:30,08:43:30,10,12
25,08:46:22,08:46:22,11,13
25,08:48:58,08:48:58,12,14
25,08:51:46,08:51:46,18,15
25,08:53:52,08:53:52,13,16
25,08:56:28,08:56:28,14,17
25,09:00:31,09:00:31,16,18
25,09:02:15,09:02:15,15,19
26,08:20:00,08:20:00,0,1
26,08:21:57,08:21:57,1,2
26,08:25:33,08:25:33,2,3
26,08:27:56,08:27:56,17,4
26,08:32:53,08:32:53,3,5
26,08:39:10,08:39:10,4,6
26,08:41:40,08:41:40,5,7
26,08:43:34,08:43:34,6,8
26,08:45:51,08:45:51,7,9
26,08:48:08,08:48:08,8,10
26,08:49:42,08:49:42,9,11
26,08:51:30,08:51:30,10,12
26,08:54:22,08:54:22,11,13
26,08:56:58,08:56:58,12,14
26,08:59:46,08:59:46,18,15
26,09:01:52,09:01:52,13,16
26,09:04:28,09:04:28,14,17
26,09:08:31,09:08:31,16,18
26,09:10:15,09:10:15,15,19
27,08:28:00,08:28:00,0,1
27,08:29:57,08:29:57,1,2
27,08:33:33,08:33:33,2,3
27,08:35:56,08:35:56,17,4
27,08:40:53,08:40:53,3,5
27,08:47:10,08:47:10,4,6
27,08:49:40,08:49:40,5,7
27,08:51:34,08:51:34,6,8
27,08:53:51,08:53:51,7,9
27,08:56:08,08:56:08,8,10
27,08:57:42,08:57:42,9,11
27,08:59:30,08:59:30,10,12
27,09:02:22,09:02:22,11,13
27,09:04:58,09:04:58,12,14
27,09:07:46,09:07:46,18,15
27,09:09:52,09:09:52,13,16
27,09:12:28,09:12:28,14,17
27,09:16:31,09:16:31,16,18
27,09:18:15,09:18:15,15,19
28,08:36:00,08:36:00,0,1
28,08:37:57,08:37:57,1,2
28,08:41:33,08:41:33,2,3
28,08:43:56,08:43:56,17,4
28,08:48:53,08:48:53,3,5
28,08:55:10,08:55:10,4,6
28,08:57:40,08:57:40,5,7
28,08:59:34,08:59:34,6,8
28,09:01:51,09:01:51,7,9
28,09:04:08,09:04:08,8,10
28,09:05:42,09:05:42,9,11
28,09:07:30,09:07:30,10,12
28,09:10:22,09:10:22,11,13
28,09:12:58,09:12:58,12,14
28,09:15:46,09:15:46,18,15
28,09:17:52,09:17:52,13,16
28,09:20:28,09:20:28,14,17
28,09:24:31,09:24:31,16,18
28,09:26:15,09:26:15,15,19
29,08:44:00,08:44:00,0,1
29,08:45:57,08:45:57,1,2
29,08:49:33,08:49:33,2,3
29,08:51:56,08:51:56,17,4
29,08:56:53,08:56:53,3,5
29,09:03:10,09:03:10,4,6
29,09:05:40,09:05:40,5,7
29,09:07:34,09:07:34,6,8
29,09:09:51,09:09:51,7,9
29,09:12:08,09:12:08,8,10
29,09:13:42,09:13:42,9,11
29,09:15:30,09:15:30,10,12
29,09:18:22,09:18:22,11,13
29,09:20:58,09:20:58,12,14
29,09:23:46,09:23:46,18,15
29,09:25:52,09:25:52,13,16
29,09:28:28,09:28:28,14,17
29,09:32:31,09:32:31,16,18
29,09:34:15,09:34:15,15,19
30,08:52:00,08:52:00,0,1
30,08:53:57,08:53:57,1,2
30,08:57:33,08:57:33,2,3
30,08:59:56,08:59:56,17,4
30,09:04:53,09:04:53,3,5
30,09:11:10,09:11:10,4,6
30,09:13:40,09:13:40,5,7
30,09:15:34,09:15:34,6,8
30,09:17:51,09:17:51,7,9
30,09:20:08,09:20:08,8,10
30,09:21:42,09:21:42,9,11
30,09:23:30,09:23:30,10,12
30,09:26:22,09:26:22,11,13
30,09:28:58,09:28:58,12,14
30,09:31:46,09:31:46,18,15
30,09:33:52,09:33:52,13,16
30,09:36:28,09:36:28,14,17
30,09:40:31,09:40:31,16,18
30,09:42:15,09:42:15,15,19
31,09:00:00,09:00:00,0,1
31,09:01:57,09:01:57,1,2
31,09:05:33,09:05:33,2,3
31,09:07:56,09:07:56,17,4
31,09:12:53,09:12:53,3,5
31,09:19:10,09:19:10,4,6
31,09:21:40,09:21:40,5,7
31,09:23:34,09:23:34,6,8
31,09:25:51,09:25:51,7,9
31,09:28:08,09:28:08,8,10
31,09:29:42,09:29:42,9,11
31,09:31:30,09:31:30,10,12
31,09:34:22,09:34:22,11,13
31,09:36:58,09:36:58,12,14
31,09:39:46,09:39:46,18,15
31,09:41:52,09:41:52,13,16
31,09:44:28,09:44:28,14,17
31,09:48:31,09:48:31,16,18
31,09:50:15,09:50:15,15,19
32,09:08:00,09:08:00,0,1
32,09:09:57,09:09:57,1,2
32,09:13:33,09:13:33,2,3
32,09:15:56,09:15:56,17,4
32,09:20:53,09:20:53,3,5
32,09:27:10,09:27:10,4,6
32,09:29:40,09:29:40,5,7
32,09:31:34,09:31:34,6,8
32,09:33:51,09:33:51,7,9
32,09:36:08,09:36:08,8,10
32,09:37:42,09:37:42,9,11
32,09:39:30,09:39:30,10,12
32,09:42:22,09:42:22,11,13
32,09:44:58,09:44:58,12,14
32,09:47:46,09:47:46,18,15
32,09:49:52,09:49:52,13,16
32,09:52:28,09:52:28,14,17
32,09:56:31,09:56:31,16,18
32,09:58:15,09:58:15,15,19
33,09:16:00,09:16:00,0,1
33,09:17:57,09:17:57,1,2
33,09:21:33,09:21:33,2,3
33,09:23:56,09:23:56,17,4
33,09:28:53,09:28:53,3,5
33,09:35:10,09:35:10,4,6
33,09:37:40,09:37:40,5,7
33,09:39:34,09:39:34,6,8
33,09:41:51,09:41:51,7,9
33,09:44:08,09:44:08,8,10
33,09:45:42,09:45:42,9,11
33,09:47:30,09:47:30,10,12
33,09:50:22,09:50:22,11,13
33,09:52:58,09:52:58,12,14
33,09:55:46,09:55:46,18,15
33,09:57:52,09:57:52,13,16
33,10:00:28,10:00:28,14,17
33,10:04:31,10:04:31,16,18
33,10:06:15,10:06:15,15,19
34,09:24:00,09:24:00,0,1
34,09:25:57,09:25:57,1,2
34,09:29:33,09:29:33,2,3
34,09:31:56,09:31:56,17,4
34,09:36:53,09:36:53,3,5
34,09:43:10,09:43:10,4,6
34,09:45:40,09:45:40,5,7
34,09:47:34,09:47:34,6,8
34,09:49:51,09:49:51,7,9
34,09:52:08,09:52:08,8,10
34,09:53:42,09:53:42,9,11
34,09:55:30,09:55:30,10,12
34,09:58:22,09:58:22,11,13
34,10:00:58,10:00:58,12,14
34,10:03:46,10:03:46,18,15
34,10:05:52,10:05:52,13,16
34,10:08:28,10:08:28,14,17
